0.016;-0.518
0.036;-0.542
0.055;-0.553
0.073;-0.571
0.088;-0.584
0.11;-0.604
0.127;-0.612
0.146;-0.622
0.163;-0.628
0.181;-0.64
0.2;-0.643
0.222;-0.651
0.237;-0.654
0.254;-0.658
0.273;-0.658
0.29;-0.662
0.31;-0.665
0.325;-0.669
0.346;-0.664
0.387;-0.66
0.406;-0.662
0.423;-0.655
0.441;-0.658
0.459;-0.652
0.495;-0.637
0.533;-0.624
0.567;-0.61
0.584;-0.595
0.605;-0.573
0.624;-0.573
0.641;-0.545
0.658;-0.551
0.678;-0.527
0.712;-0.519
0.744;-0.452
0.76;-0.418
0.772;-0.364
0.782;-0.308
0.792;-0.244
0.802;-0.145
0.809;-0.063
0.815;0.025
0.821;0.129
0.826;0.194
0.829;0.263
0.836;0.307
0.843;0.383
0.851;0.435
0.857;0.494
0.867;0.538
0.882;0.62
0.901;0.696
0.934;0.781
0.95;0.82
0.968;0.853
0.985;0.894
